A112109 - Number of Workers in household (6) (Households),,,
Current date: 11/15/2022 12:36:46 PM (Eastern Standard Time),,,
RESIDENCE,Number of Workers in Household 6,Output,Households
"TAZ 00000175, Honolulu County, Hawaii",0 workers,Estimate,0
"TAZ 00000175, Honolulu County, Hawaii",0 workers,Margin of Error,11
"TAZ 00000175, Honolulu County, Hawaii",1 worker,Estimate,0
"TAZ 00000175, Honolulu County, Hawaii",1 worker,Margin of Error,11
"TAZ 00000175, Honolulu County, Hawaii",2 workers,Estimate,0
"TAZ 00000175, Honolulu County, Hawaii",2 workers,Margin of Error,11
"TAZ 00000175, Honolulu County, Hawaii",3 workers,Estimate,0
"TAZ 00000175, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000175, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000175, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000176, Honolulu County, Hawaii","Total, number of workers in household",Estimate,0
"TAZ 00000176, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,11
"TAZ 00000176, Honolulu County, Hawaii",0 workers,Estimate,0
"TAZ 00000176, Honolulu County, Hawaii",0 workers,Margin of Error,11
"TAZ 00000176, Honolulu County, Hawaii",1 worker,Estimate,0
"TAZ 00000176, Honolulu County, Hawaii",1 worker,Margin of Error,11
"TAZ 00000176, Honolulu County, Hawaii",2 workers,Estimate,0
"TAZ 00000176, Honolulu County, Hawaii",2 workers,Margin of Error,11
"TAZ 00000176, Honolulu County, Hawaii",3 workers,Estimate,0
"TAZ 00000176, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000176, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000176, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000177, Honolulu County, Hawaii","Total, number of workers in household",Estimate,660
"TAZ 00000177, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,184
"TAZ 00000177, Honolulu County, Hawaii",0 workers,Estimate,160
"TAZ 00000177, Honolulu County, Hawaii",0 workers,Margin of Error,84
"TAZ 00000177, Honolulu County, Hawaii",1 worker,Estimate,335
"TAZ 00000177, Honolulu County, Hawaii",1 worker,Margin of Error,144
"TAZ 00000177, Honolulu County, Hawaii",2 workers,Estimate,145
"TAZ 00000177, Honolulu County, Hawaii",2 workers,Margin of Error,121
"TAZ 00000177, Honolulu County, Hawaii",3 workers,Estimate,15
"TAZ 00000177, Honolulu County, Hawaii",3 workers,Margin of Error,29
"TAZ 00000177, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000177, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000178, Honolulu County, Hawaii","Total, number of workers in household",Estimate,90
"TAZ 00000178, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,55
"TAZ 00000178, Honolulu County, Hawaii",0 workers,Estimate,0
"TAZ 00000178, Honolulu County, Hawaii",0 workers,Margin of Error,11
"TAZ 00000178, Honolulu County, Hawaii",1 worker,Estimate,40
"TAZ 00000178, Honolulu County, Hawaii",1 worker,Margin of Error,45
"TAZ 00000178, Honolulu County, Hawaii",2 workers,Estimate,50
"TAZ 00000178, Honolulu County, Hawaii",2 workers,Margin of Error,49
"TAZ 00000178, Honolulu County, Hawaii",3 workers,Estimate,0
"TAZ 00000178, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000178, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000178, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000179, Honolulu County, Hawaii","Total, number of workers in household",Estimate,310
"TAZ 00000179, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,74
"TAZ 00000179, Honolulu County, Hawaii",0 workers,Estimate,50
"TAZ 00000179, Honolulu County, Hawaii",0 workers,Margin of Error,32
"TAZ 00000179, Honolulu County, Hawaii",1 worker,Estimate,205
"TAZ 00000179, Honolulu County, Hawaii",1 worker,Margin of Error,71
"TAZ 00000179, Honolulu County, Hawaii",2 workers,Estimate,45
"TAZ 00000179, Honolulu County, Hawaii",2 workers,Margin of Error,29
"TAZ 00000179, Honolulu County, Hawaii",3 workers,Estimate,0
"TAZ 00000179, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000179, Honolulu County, Hawaii",4-or-more workers,Estimate,10
"TAZ 00000179, Honolulu County, Hawaii",4-or-more workers,Margin of Error,15
"TAZ 00000180, Honolulu County, Hawaii","Total, number of workers in household",Estimate,30
"TAZ 00000180, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,22
"TAZ 00000180, Honolulu County, Hawaii",0 workers,Estimate,0
"TAZ 00000180, Honolulu County, Hawaii",0 workers,Margin of Error,11
"TAZ 00000180, Honolulu County, Hawaii",1 worker,Estimate,30
"TAZ 00000180, Honolulu County, Hawaii",1 worker,Margin of Error,22
"TAZ 00000180, Honolulu County, Hawaii",2 workers,Estimate,0
"TAZ 00000180, Honolulu County, Hawaii",2 workers,Margin of Error,11
"TAZ 00000180, Honolulu County, Hawaii",3 workers,Estimate,0
"TAZ 00000180, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000180, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000180, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000181, Honolulu County, Hawaii","Total, number of workers in household",Estimate,"1,040"
"TAZ 00000181, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,113
"TAZ 00000181, Honolulu County, Hawaii",0 workers,Estimate,690
"TAZ 00000181, Honolulu County, Hawaii",0 workers,Margin of Error,113
"TAZ 00000181, Honolulu County, Hawaii",1 worker,Estimate,155
"TAZ 00000181, Honolulu County, Hawaii",1 worker,Margin of Error,58
"TAZ 00000181, Honolulu County, Hawaii",2 workers,Estimate,195
"TAZ 00000181, Honolulu County, Hawaii",2 workers,Margin of Error,93
"TAZ 00000181, Honolulu County, Hawaii",3 workers,Estimate,0
"TAZ 00000181, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000181, Honolulu County, Hawaii",4-or-more workers,Estimate,10
"TAZ 00000181, Honolulu County, Hawaii",4-or-more workers,Margin of Error,14
"TAZ 00000182, Honolulu County, Hawaii","Total, number of workers in household",Estimate,630
"TAZ 00000182, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,117
"TAZ 00000182, Honolulu County, Hawaii",0 workers,Estimate,155
"TAZ 00000182, Honolulu County, Hawaii",0 workers,Margin of Error,80
"TAZ 00000182, Honolulu County, Hawaii",1 worker,Estimate,325
"TAZ 00000182, Honolulu County, Hawaii",1 worker,Margin of Error,82
"TAZ 00000182, Honolulu County, Hawaii",2 workers,Estimate,105
"TAZ 00000182, Honolulu County, Hawaii",2 workers,Margin of Error,73
"TAZ 00000182, Honolulu County, Hawaii",3 workers,Estimate,45
"TAZ 00000182, Honolulu County, Hawaii",3 workers,Margin of Error,47
"TAZ 00000182, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000182, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000183, Honolulu County, Hawaii","Total, number of workers in household",Estimate,920
"TAZ 00000183, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,107
"TAZ 00000183, Honolulu County, Hawaii",0 workers,Estimate,275
"TAZ 00000183, Honolulu County, Hawaii",0 workers,Margin of Error,89
"TAZ 00000183, Honolulu County, Hawaii",1 worker,Estimate,420
"TAZ 00000183, Honolulu County, Hawaii",1 worker,Margin of Error,93
"TAZ 00000183, Honolulu County, Hawaii",2 workers,Estimate,225
"TAZ 00000183, Honolulu County, Hawaii",2 workers,Margin of Error,89
"TAZ 00000183, Honolulu County, Hawaii",3 workers,Estimate,0
"TAZ 00000183, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000183, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000183, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000184, Honolulu County, Hawaii","Total, number of workers in household",Estimate,0
"TAZ 00000184, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,11
"TAZ 00000184, Honolulu County, Hawaii",0 workers,Estimate,0
"TAZ 00000184, Honolulu County, Hawaii",0 workers,Margin of Error,11
"TAZ 00000184, Honolulu County, Hawaii",1 worker,Estimate,0
"TAZ 00000184, Honolulu County, Hawaii",1 worker,Margin of Error,11
"TAZ 00000184, Honolulu County, Hawaii",2 workers,Estimate,0
"TAZ 00000184, Honolulu County, Hawaii",2 workers,Margin of Error,11
"TAZ 00000184, Honolulu County, Hawaii",3 workers,Estimate,0
"TAZ 00000184, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000184, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000184, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000185, Honolulu County, Hawaii","Total, number of workers in household",Estimate,15
"TAZ 00000185, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,25
"TAZ 00000185, Honolulu County, Hawaii",0 workers,Estimate,0
"TAZ 00000185, Honolulu County, Hawaii",0 workers,Margin of Error,11
"TAZ 00000185, Honolulu County, Hawaii",1 worker,Estimate,0
"TAZ 00000185, Honolulu County, Hawaii",1 worker,Margin of Error,11
"TAZ 00000185, Honolulu County, Hawaii",2 workers,Estimate,15
"TAZ 00000185, Honolulu County, Hawaii",2 workers,Margin of Error,25
"TAZ 00000185, Honolulu County, Hawaii",3 workers,Estimate,0
"TAZ 00000185, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000185, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000185, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000186, Honolulu County, Hawaii","Total, number of workers in household",Estimate,0
"TAZ 00000186, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,11
"TAZ 00000186, Honolulu County, Hawaii",0 workers,Estimate,0
"TAZ 00000186, Honolulu County, Hawaii",0 workers,Margin of Error,11
"TAZ 00000186, Honolulu County, Hawaii",1 worker,Estimate,0
"TAZ 00000186, Honolulu County, Hawaii",1 worker,Margin of Error,11
"TAZ 00000186, Honolulu County, Hawaii",2 workers,Estimate,0
"TAZ 00000186, Honolulu County, Hawaii",2 workers,Margin of Error,11
"TAZ 00000186, Honolulu County, Hawaii",3 workers,Estimate,0
"TAZ 00000186, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000186, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000186, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000187, Honolulu County, Hawaii","Total, number of workers in household",Estimate,15
"TAZ 00000187, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,25
"TAZ 00000187, Honolulu County, Hawaii",0 workers,Estimate,15
"TAZ 00000187, Honolulu County, Hawaii",0 workers,Margin of Error,25
"TAZ 00000187, Honolulu County, Hawaii",1 worker,Estimate,0
"TAZ 00000187, Honolulu County, Hawaii",1 worker,Margin of Error,11
"TAZ 00000187, Honolulu County, Hawaii",2 workers,Estimate,0
"TAZ 00000187, Honolulu County, Hawaii",2 workers,Margin of Error,11
"TAZ 00000187, Honolulu County, Hawaii",3 workers,Estimate,0
"TAZ 00000187, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000187, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000187, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000188, Honolulu County, Hawaii","Total, number of workers in household",Estimate,585
"TAZ 00000188, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,102
"TAZ 00000188, Honolulu County, Hawaii",0 workers,Estimate,150
"TAZ 00000188, Honolulu County, Hawaii",0 workers,Margin of Error,84
"TAZ 00000188, Honolulu County, Hawaii",1 worker,Estimate,270
"TAZ 00000188, Honolulu County, Hawaii",1 worker,Margin of Error,92
"TAZ 00000188, Honolulu County, Hawaii",2 workers,Estimate,140
"TAZ 00000188, Honolulu County, Hawaii",2 workers,Margin of Error,58
"TAZ 00000188, Honolulu County, Hawaii",3 workers,Estimate,25
"TAZ 00000188, Honolulu County, Hawaii",3 workers,Margin of Error,25
"TAZ 00000188, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000188, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000189, Honolulu County, Hawaii","Total, number of workers in household",Estimate,330
"TAZ 00000189, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,71
"TAZ 00000189, Honolulu County, Hawaii",0 workers,Estimate,80
"TAZ 00000189, Honolulu County, Hawaii",0 workers,Margin of Error,31
"TAZ 00000189, Honolulu County, Hawaii",1 worker,Estimate,185
"TAZ 00000189, Honolulu County, Hawaii",1 worker,Margin of Error,71
"TAZ 00000189, Honolulu County, Hawaii",2 workers,Estimate,45
"TAZ 00000189, Honolulu County, Hawaii",2 workers,Margin of Error,39
"TAZ 00000189, Honolulu County, Hawaii",3 workers,Estimate,10
"TAZ 00000189, Honolulu County, Hawaii",3 workers,Margin of Error,19
"TAZ 00000189, Honolulu County, Hawaii",4-or-more workers,Estimate,10
"TAZ 00000189, Honolulu County, Hawaii",4-or-more workers,Margin of Error,14
"TAZ 00000190, Honolulu County, Hawaii","Total, number of workers in household",Estimate,855
"TAZ 00000190, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,107
"TAZ 00000190, Honolulu County, Hawaii",0 workers,Estimate,505
"TAZ 00000190, Honolulu County, Hawaii",0 workers,Margin of Error,115
"TAZ 00000190, Honolulu County, Hawaii",1 worker,Estimate,200
"TAZ 00000190, Honolulu County, Hawaii",1 worker,Margin of Error,87
"TAZ 00000190, Honolulu County, Hawaii",2 workers,Estimate,135
"TAZ 00000190, Honolulu County, Hawaii",2 workers,Margin of Error,61
"TAZ 00000190, Honolulu County, Hawaii",3 workers,Estimate,15
"TAZ 00000190, Honolulu County, Hawaii",3 workers,Margin of Error,22
"TAZ 00000190, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000190, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000191, Honolulu County, Hawaii","Total, number of workers in household",Estimate,495
"TAZ 00000191, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,91
"TAZ 00000191, Honolulu County, Hawaii",0 workers,Estimate,130
"TAZ 00000191, Honolulu County, Hawaii",0 workers,Margin of Error,74
"TAZ 00000191, Honolulu County, Hawaii",1 worker,Estimate,205
"TAZ 00000191, Honolulu County, Hawaii",1 worker,Margin of Error,72
"TAZ 00000191, Honolulu County, Hawaii",2 workers,Estimate,160
"TAZ 00000191, Honolulu County, Hawaii",2 workers,Margin of Error,66
"TAZ 00000191, Honolulu County, Hawaii",3 workers,Estimate,0
"TAZ 00000191, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000191, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000191, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000192, Honolulu County, Hawaii","Total, number of workers in household",Estimate,565
"TAZ 00000192, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,95
"TAZ 00000192, Honolulu County, Hawaii",0 workers,Estimate,225
"TAZ 00000192, Honolulu County, Hawaii",0 workers,Margin of Error,65
"TAZ 00000192, Honolulu County, Hawaii",1 worker,Estimate,180
"TAZ 00000192, Honolulu County, Hawaii",1 worker,Margin of Error,90
"TAZ 00000192, Honolulu County, Hawaii",2 workers,Estimate,100
"TAZ 00000192, Honolulu County, Hawaii",2 workers,Margin of Error,49
"TAZ 00000192, Honolulu County, Hawaii",3 workers,Estimate,65
"TAZ 00000192, Honolulu County, Hawaii",3 workers,Margin of Error,41
"TAZ 00000192, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000192, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000193, Honolulu County, Hawaii","Total, number of workers in household",Estimate,130
"TAZ 00000193, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,79
"TAZ 00000193, Honolulu County, Hawaii",0 workers,Estimate,0
"TAZ 00000193, Honolulu County, Hawaii",0 workers,Margin of Error,11
"TAZ 00000193, Honolulu County, Hawaii",1 worker,Estimate,105
"TAZ 00000193, Honolulu County, Hawaii",1 worker,Margin of Error,82
"TAZ 00000193, Honolulu County, Hawaii",2 workers,Estimate,10
"TAZ 00000193, Honolulu County, Hawaii",2 workers,Margin of Error,13
"TAZ 00000193, Honolulu County, Hawaii",3 workers,Estimate,15
"TAZ 00000193, Honolulu County, Hawaii",3 workers,Margin of Error,24
"TAZ 00000193, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000193, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000194, Honolulu County, Hawaii","Total, number of workers in household",Estimate,190
"TAZ 00000194, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,65
"TAZ 00000194, Honolulu County, Hawaii",0 workers,Estimate,10
"TAZ 00000194, Honolulu County, Hawaii",0 workers,Margin of Error,19
"TAZ 00000194, Honolulu County, Hawaii",1 worker,Estimate,125
"TAZ 00000194, Honolulu County, Hawaii",1 worker,Margin of Error,52
"TAZ 00000194, Honolulu County, Hawaii",2 workers,Estimate,50
"TAZ 00000194, Honolulu County, Hawaii",2 workers,Margin of Error,57
"TAZ 00000194, Honolulu County, Hawaii",3 workers,Estimate,0
"TAZ 00000194, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000194, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000194, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000195, Honolulu County, Hawaii","Total, number of workers in household",Estimate,325
"TAZ 00000195, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,88
"TAZ 00000195, Honolulu County, Hawaii",0 workers,Estimate,145
"TAZ 00000195, Honolulu County, Hawaii",0 workers,Margin of Error,60
"TAZ 00000195, Honolulu County, Hawaii",1 worker,Estimate,135
"TAZ 00000195, Honolulu County, Hawaii",1 worker,Margin of Error,72
"TAZ 00000195, Honolulu County, Hawaii",2 workers,Estimate,30
"TAZ 00000195, Honolulu County, Hawaii",2 workers,Margin of Error,36
"TAZ 00000195, Honolulu County, Hawaii",3 workers,Estimate,15
"TAZ 00000195, Honolulu County, Hawaii",3 workers,Margin of Error,25
"TAZ 00000195, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000195, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000196, Honolulu County, Hawaii","Total, number of workers in household",Estimate,735
"TAZ 00000196, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,103
"TAZ 00000196, Honolulu County, Hawaii",0 workers,Estimate,220
"TAZ 00000196, Honolulu County, Hawaii",0 workers,Margin of Error,72
"TAZ 00000196, Honolulu County, Hawaii",1 worker,Estimate,275
"TAZ 00000196, Honolulu County, Hawaii",1 worker,Margin of Error,89
